County,Business Name
Aitkin,20
Anoka,223
Becker,34
Beltrami,39
Benton,25
Big Stone,2
Blue Earth,70
Brown,13
Carlton,47
Carver,70
Cass,35
Chippewa,7
Chisago,46
Clay,49
Clearwater,8
Cook,28
Cottonwood,11
Crow Wing,83
Dakota,223
Dodge,15
Douglas,23
Faribault,6
Fillmore,13
Freeborn,27
Goodhue,37
Grant,4
Hennepin,1029
Houston,22
Hubbard,17
Isanti,28
Itasca,48
Jackson,9
Kanabec,12
Kandiyohi,23
Kittson,12
Koochiching,13
Lac qui Parle,6
Lake,25
Lake of the Woods,9
Le Sueur,18
Lincoln,4
Lyon,12
Mahnomen,3
Marshall,12
Martin,8
McLeod,23
Meeker,13
Mille Lacs,16
Morrison,18
Mower,34
Murray,3
Nicollet,23
Nobles,10
Norman,6
Olmsted,117
Otter Tail,42
Pennington,11
Pine,29
Pipestone,4
Polk,27
Pope,5
Ramsey,418
Red Lake,5
Redwood,10
Renville,8
Rice,40
Rock,8
Roseau,18
Saint Louis,237
Scott,67
Sherburne,58
Sibley,13
Stearns,120
Steele,36
Stevens,5
Swift,4
Todd,16
Wabasha,19
Wadena,13
Waseca,13
Washington,136
Watonwan,5
Wilkin,1
Winona,46
Wright,76
Yellow Medicine,6
